Joint,MSE,RMSE,MAE,R2
pelvis,4.644538879394531,2.155119226259775,1.6779062747955322,0.8202281594276428
shoulders,9.253681182861328,3.041986387685081,2.206660270690918,0.9714981317520142
trunk,11.15295124053955,3.339603455582646,2.4022300243377686,0.9713143706321716
left thigh,15.000589370727539,3.8730594328937866,2.788355588912964,0.9024854898452759
right thigh,17.292816162109375,4.158463197157019,3.0800042152404785,0.8925982713699341
right hip,17.880083084106445,4.228484726720252,2.808201551437378,0.9967837929725647
left hip,18.44493865966797,4.294757113000451,2.772081136703491,0.9957222938537598
left knee,21.70794105529785,4.6591781523459534,2.7890851497650146,0.9965317249298096
right knee,26.3916072845459,5.137276251531145,2.9536960124969482,0.9957346320152283
head,26.853694915771484,5.182055086138267,3.6150782108306885,0.9557036757469177
left shank,27.748699188232422,5.267703407390399,3.3659934997558594,0.7868685126304626
right foot,28.59103775024414,5.347058794350792,3.835247755050659,0.9467611312866211
left foot,29.228803634643555,5.406366953384089,3.8383004665374756,0.9001346230506897
right shoulder,37.62749481201172,6.134125431714917,4.309248924255371,0.9909996390342712
left ankle,39.0428581237793,6.248428452321376,4.334938049316406,0.9421918988227844
right shank,39.06245040893555,6.249996032713584,3.7937731742858887,0.7244686484336853
left arm,40.56198501586914,6.368829171509402,4.596012592315674,0.9591365456581116
right arm,41.21706008911133,6.420051408603465,4.6537065505981445,0.958966076374054
right elbow,42.353981018066406,6.5079936246178365,4.39092493057251,0.9915748238563538
right ankle,46.869510650634766,6.846131071680907,4.454437732696533,0.9439250230789185
left shoulder,47.76337432861328,6.911105145243652,4.821243762969971,0.9896390438079834
left elbow,50.387908935546875,7.098444120759624,4.634890079498291,0.9899922609329224
left forearm,59.777408599853516,7.731585128539523,5.415501594543457,0.9464951157569885
right forearm,62.79121017456055,7.924090495101665,5.662129878997803,0.9419958591461182
